game_id,round_index,cards_per_player,dealer_id,player_id,player_name,bid,tricks_won,round_delta,total_score,trump_suit
game-0,0,1,0,0,anthropic:claude-3-5-haiku-latest,0,0,20,20,RED
game-0,0,1,0,1,gemini:gemini-2.0-flash-lite,0,0,20,20,RED
game-0,0,1,0,2,openai:gpt-4o-mini,0,1,-10,-10,RED
game-0,1,2,1,0,anthropic:claude-3-5-haiku-latest,1,0,-10,10,RED
game-0,1,2,1,1,gemini:gemini-2.0-flash-lite,1,2,-10,10,RED
game-0,1,2,1,2,openai:gpt-4o-mini,1,0,-10,-20,RED
game-0,2,3,2,0,anthropic:claude-3-5-haiku-latest,1,0,-10,0,YELLOW
game-0,2,3,2,1,gemini:gemini-2.0-flash-lite,0,1,-10,0,YELLOW
game-0,2,3,2,2,openai:gpt-4o-mini,1,2,-10,-30,YELLOW
game-0,3,4,0,0,anthropic:claude-3-5-haiku-latest,1,0,-10,-10,YELLOW
game-0,3,4,0,1,gemini:gemini-2.0-flash-lite,2,1,-10,-10,YELLOW
game-0,3,4,0,2,openai:gpt-4o-mini,2,3,-10,-40,YELLOW
game-0,4,5,1,0,anthropic:claude-3-5-haiku-latest,2,4,-20,-30,RED
game-0,4,5,1,1,gemini:gemini-2.0-flash-lite,0,1,-10,-20,RED
game-0,4,5,1,2,openai:gpt-4o-mini,1,0,-10,-50,RED
game-0,5,6,2,0,anthropic:claude-3-5-haiku-latest,3,0,-30,-60,YELLOW
game-0,5,6,2,1,gemini:gemini-2.0-flash-lite,0,2,-20,-40,YELLOW
game-0,5,6,2,2,openai:gpt-4o-mini,2,4,-20,-70,YELLOW
game-0,6,7,0,0,anthropic:claude-3-5-haiku-latest,2,3,-10,-70,RED
game-0,6,7,0,1,gemini:gemini-2.0-flash-lite,0,2,-20,-60,RED
game-0,6,7,0,2,openai:gpt-4o-mini,1,2,-10,-80,RED
game-0,7,8,1,0,anthropic:claude-3-5-haiku-latest,3,3,50,-20,RED
game-0,7,8,1,1,gemini:gemini-2.0-flash-lite,0,3,-30,-90,RED
game-0,7,8,1,2,openai:gpt-4o-mini,2,2,40,-40,RED
game-0,8,9,2,0,anthropic:claude-3-5-haiku-latest,3,4,-10,-30,BLUE
game-0,8,9,2,1,gemini:gemini-2.0-flash-lite,3,5,-20,-110,BLUE
game-0,8,9,2,2,openai:gpt-4o-mini,2,0,-20,-60,BLUE
game-0,9,10,0,0,anthropic:claude-3-5-haiku-latest,3,2,-10,-40,RED
game-0,9,10,0,1,gemini:gemini-2.0-flash-lite,1,3,-20,-130,RED
game-0,9,10,0,2,openai:gpt-4o-mini,1,5,-40,-100,RED
game-0,10,11,1,0,anthropic:claude-3-5-haiku-latest,3,1,-20,-60,GREEN
game-0,10,11,1,1,gemini:gemini-2.0-flash-lite,2,4,-20,-150,GREEN
game-0,10,11,1,2,openai:gpt-4o-mini,2,6,-40,-140,GREEN
game-0,11,12,2,0,anthropic:claude-3-5-haiku-latest,3,5,-20,-80,BLUE
game-0,11,12,2,1,gemini:gemini-2.0-flash-lite,1,2,-10,-160,BLUE
game-0,11,12,2,2,openai:gpt-4o-mini,3,5,-20,-160,BLUE
